entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1501750,3,"仏","ぶつ",A-remove,false,,kanji,"abbr",1,"Buddha | Buddhism"
1502850,3,"分","ぶ",A-remove,false,,kanji,"",1,"one-tenth; one percent (one-tenth of a wari); 3 mm (one-tenth of a sun) | one-quarter of a ryō (obsolete unit of currenc"
1504680,1,"焚き火","たきび",B-review,false,,kanji,"",0,"open-air fire (e.g. for garden refuse); bonfire; campfire | open fire (e.g. in a kitchen)"
1505090,3,"文","ぶん",C-collision-but-established,true,,kanji,"",1,"sentence | composition; text; writings"
1506000,1,"然し乍ら","しかしながら",B-review,false,,kana-expr,"uk",0,"however; nevertheless"
1508290,3,"柄","え",C-collision-but-established,true,,kanji,"",1,"handle; grip | stalk (of a mushroom, leaf, etc.)"
1508310,3,"柄","つか",A-remove,false,,kanji,"",1,"hilt (of a sword); haft (of a dagger); handle"
1510900,3,"変化","へんげ",A-remove,false,,kanji,"",1,"shapeshifting (of an animal or spirit); goblin; ghost | incarnation"
1512370,3,"便","べん",A-remove,false,,kanji,"",1,"convenience; service; facility | excreta (esp. faeces); excrement; stool"
1515600,1,"呆気ない","あっけない",B-review,false,,kanji,"uk",0,"unsatisfying; disappointing; abrupt"
1515610,1,"呆然","ぼうぜん",B-review,false,,kanji,"",0,"dumbfounded; overcome with surprise; in blank amazement"
1515660,1,"報ずる","ほうずる",B-review,false,,kanji,"",0,"to report; to inform | to repay; to return; to requite"
1516500,1,"放り込む","ほうりこむ",B-review,false,,kanji,"uk",0,"to throw into; to toss into | to throw-in; to play a throw-in"
1516510,1,"放り出す","ほうりだす",B-review,false,,kanji,"",0,"to throw out | to drop; to toss; to dump"
1516925,3,"方","かた",C-collision-but-established,true,,kanji,"hon",1,"direction; way | person; lady; gentleman"
1518320,2,"飽くまで","あくまで",B-review,false,,kanji,"uk",0,"to the end; to the bitter end; to the last | after all; it must be remembered; only"
1518450,5,"亡い","ない",B-review,false,,kana-expr,"",0,"dead"
